,NKY Index,SHSZ300 Index,SX5E Index,INDU Index,KS
2019-11-27,1.498082,0.80528164,1.1703596,1.1985246,1.0837007
2019-11-29,1.4692702,0.7909044,1.16841,1.1958508,1.0520964
2019-12-02,1.4514034,0.7878576,1.1511295,1.1744689,1.0226883
2019-12-03,1.4117677,0.783949,1.13375,1.1386999,0.9953349
2019-12-04,1.3551952,0.79314584,1.1216028,1.1095055,0.9642806
2019-12-05,1.3318706,0.8037973,1.1086459,1.0894171,0.9411359
2019-12-06,1.3190415,0.8207472,1.102848,1.0828545,0.93316627
2019-12-09,1.3088268,0.8325258,1.0938915,1.0653229,0.9239269
2019-12-10,1.28644,0.8383659,1.0858854,1.0461493,0.9158055
2019-12-11,1.2577616,0.8351109,1.080318,1.030376,0.91095066
2019-12-12,1.240916,0.8341825,1.0774597,1.0208839,0.91882026
2019-12-13,1.2896738,0.8434557,1.0788763,1.015324,0.9464982
2019-12-16,1.2985791,0.85477364,1.086437,1.0169615,0.96271795
2019-12-17,1.3258007,0.8616838,1.0869014,1.0252311,0.9900187
2019-12-18,1.3578447,0.86488074,1.0821735,1.0285345,1.0074376
2019-12-19,1.3774598,0.8740156,1.0794324,1.0381899,1.0298315
2019-12-20,1.396308,0.8836646,1.0793628,1.041605,1.0499682
2019-12-23,1.4094187,0.8883294,1.081062,1.051977,1.0707507
2019-12-24,1.4147091,0.907111,1.0748214,1.0550429,1.0788441
2019-12-27,1.4191041,0.92755425,1.0697073,1.0619031,1.0906975
2019-12-30,1.395478,0.9706615,1.0609771,1.0549517,1.0894638
2020-01-06,1.2884926,1.0162067,1.0542175,1.0617771,1.0649415
2020-01-07,1.2399607,1.0679224,1.0513113,1.0655344,1.060278
2020-01-08,1.1608022,1.0778419,1.0548266,1.08235,1.0331801
2020-01-09,1.1482364,1.1114159,1.05991,1.1023171,1.0335068
2020-01-10,1.1308657,1.1410809,1.0659585,1.1083227,1.0441442
2020-01-14,1.1254865,1.179772,1.0640056,1.11332,1.0655663
2020-01-15,1.1053675,1.2193452,1.0641625,1.1222649,1.0770346
2020-01-16,1.0955582,1.2413282,1.0678964,1.1455443,1.1012579
2020-01-17,1.095728,1.265538,1.0740082,1.1636585,1.1174349
2020-01-21,1.0929986,1.2559516,1.075694,1.1802499,1.1266737
2020-01-22,1.1087296,1.2318836,1.0715071,1.1862469,1.1645452
2020-01-23,1.0796888,1.1550989,1.0576812,1.19114,1.170013
2020-02-03,1.0323983,1.0644441,1.0371099,1.15,1.1284702
2020-02-04,0.9659853,1.0074358,1.029292,1.1285591,1.1100935
2020-02-05,0.92440456,0.9671315,1.0283375,1.1267847,1.0906171
2020-02-06,0.90643805,0.94253564,1.0281403,1.12097,1.0892848
2020-02-07,0.88811487,0.92978776,1.0278077,1.1008484,1.080388
2020-02-10,0.86199534,0.92133266,1.0273772,1.0831224,1.0644462
2020-02-12,0.84420305,0.9241929,1.0320722,1.0728956,1.0674165
2020-02-13,0.83401674,0.92599094,1.036023,1.0662873,1.062132
2020-02-14,0.8225416,0.9202925,1.0384877,1.0578649,1.0539389
2020-02-18,0.79745674,0.9224063,1.0409819,1.0484968,1.0417657
2020-02-19,0.82287174,0.92784256,1.0509949,1.0637288,1.060274
2020-02-20,0.82617474,0.95149213,1.0493363,1.0568544,1.0493447
2020-02-21,0.8111849,0.9670417,1.0441867,1.0381665,1.0257031
2020-02-25,0.7435917,0.9746836,1.0171884,0.98392224,0.98099
2020-02-26,0.6924573,0.98313355,0.99749994,0.9504424,0.93433326
2020-02-27,0.6402317,0.9851318,0.9713683,0.8987014,0.8911547
2020-02-28,0.575528,0.9634329,0.94079053,0.8537603,0.82708794
2020-03-02,0.53448594,0.95567745,0.9194516,0.84184396,0.78439903
2020-03-03,0.50022906,0.9384083,0.90388733,0.8152,0.7503123
2020-03-04,0.48420575,0.91756016,0.89081913,0.81280124,0.73312163
2020-03-05,0.46825883,0.92481303,0.877268,0.7913566,0.724846
2020-03-06,0.45627114,0.9019624,0.8596484,0.7754856,0.7009355
2020-03-09,0.44903424,0.8655932,0.83794945,0.74813795,0.6657214
2020-03-10,0.4514556,0.84523785,0.81553894,0.75339866,0.6342054
2020-03-11,0.45538965,0.8247563,0.79793066,0.7333151,0.60378486
2020-03-12,0.46384385,0.80122757,0.7702464,0.7083852,0.5665847
