DATE,INDU Index,KRW Curncy,LMCADY Comdty,NKY Index,SHSZ300 Index,SX5E Index,USYC2Y10 Index,VIX Index
1982-05-17,845.32,724.55,,7619.39,,,-28.65,
1982-05-18,840.85,724.55,,7567.06,,,-25.65,
1982-05-19,835.9,725.35,,7572.15,,,-14.65,
1982-05-20,832.48,725.35,,7531.54,,,4.35,
1982-05-21,835.9,725.35,,7497.05,,,-5.65,
1982-05-22,,,,7484.26,,,,
1982-05-24,836.38,725.35,,7468.28,,,-4.65,
1982-05-25,834.57,725.35,,7428.4,,,-6.65,
1982-05-26,828.77,728.95,,7449.92,,,5.35,
1982-05-27,824.96,728.95,,7404.36,,,8.35,
1982-05-28,819.54,731.75,,7325.09,,,8.35,
1982-05-29,,,,7285.06,,,,
1982-05-31,,731.75,,7325.65,,,,
1982-06-01,814.97,731.75,,7368.66,,,0.35,
1982-06-02,816.88,734.75,,7344.9,,,-9.65,
1982-06-03,816.5,734.75,,7301.94,,,-0.65,
1982-06-04,804.98,735.75,,7300.54,,,-5.65,
1982-06-05,,,,7287.47,,,,
1982-06-07,804.03,735.75,,7242.39,,,-3.65,
1982-06-08,802.23,737.05,,7240.03,,,-6.65,
1982-06-09,795.57,737.05,,7233.03,,,-12.65,
1982-06-10,798.71,737.05,,7152.28,,,-10.65,
1982-06-11,809.74,738.55,,7195.46,,,-15.65,
1982-06-12,,,,7245.01,,,,
1982-06-14,801.85,738.55,,7242.58,,,-16.65,
1982-06-15,801.27,738.55,,7191.02,,,-20.65,
1982-06-16,796.9,738.55,,7142.39,,,-19.65,
1982-06-17,791.48,739.55,,7130.25,,,-31.65,
1982-06-18,788.62,739.55,,7127.7,,,-34.65,
1982-06-21,789.95,740.05,,7091.11,,,-29.65,
1982-06-22,799.66,740.05,,7127.96,,,-24.65,
1982-06-23,813.17,740.05,,7154.63,,,-23.65,
1982-06-24,810.41,740.05,,7152.58,,,-24.65,
1982-06-25,803.08,741.3,,7202.45,,,-22.65,
